转换开始时间: 2026-02-10 09:12:23.709289
模式: hdict_to_voc
输入: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
输出: E:/个人项目/halcon_2_voc/test/test_xml
------------------------------------------------------------
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取 hdict: E:/个人项目/halcon_2_voc/test/fj_td_test.hdict
[09:12:23] 读取到 10 个类别名称
[09:12:23] 读取到 10 个类别名称
[09:12:23] 共 300 个样本
[09:12:23] 共 300 个样本
[09:12:24] 生成: jsyw_100_test_final_0057.xml （有标注，8 个框）
[09:12:24] 生成: jsyw_100_test_final_0058.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0058.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0059.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0059.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0060.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0060.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0064.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0064.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0065.xml （有标注，1 个框）
[09:12:24] 生成: jsyw_100_test_final_0065.xml （有标注，1 个框）
[09:12:24] 生成: jsyw_100_test_final_0066.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0066.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0068.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0068.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0069.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0069.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0072.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0072.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0073.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0073.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0084.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0084.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0085.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0085.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0086.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0086.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0089.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0089.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0090.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0090.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0092.xml （有标注，7 个框）
[09:12:24] 生成: jsyw_100_test_final_0092.xml （有标注，7 个框）
[09:12:24] 生成: jsyw_100_test_final_0093.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0093.xml （有标注，4 个框）
[09:12:24] 生成: jsyw_100_test_final_0094.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0094.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0095.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0095.xml （有标注，5 个框）
[09:12:24] 生成: jsyw_100_test_final_0096.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0096.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0098.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0098.xml （有标注，2 个框）
[09:12:24] 生成: jsyw_100_test_final_0099.xml （有标注，3 个框）
[09:12:24] 生成: jsyw_100_test_final_0099.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0001.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0001.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0002.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0002.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0003.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0003.xml （有标注，3 个框）
[09:12:24] 生成: sh_100_test_final_0006.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0006.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0007.xml （有标注，1 个框）
[09:12:24] 生成: sh_100_test_final_0007.xml （有标注，1 个框）
[09:12:24] 生成: sh_100_test_final_0009.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0009.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0013.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0013.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0015.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0015.xml （有标注，2 个框）
[09:12:24] 生成: sh_100_test_final_0016.xml （有标注，1 个框）
[09:12:24] 生成: sh_100_test_final_0016.xml （有标注，1 个框）
[09:12:24] 生成: sh_100_test_final_0023.xml （有标注，2 个框）
